Strength,Guidance,AUC,Precision,Recall,Threshold,F1_Score,Accuracy
0.42,5.5,0.7405,0.8382,0.9048,0.247,0.8702276075731498,0.7951695595553294
0.4,5.5,0.7405,0.8382,0.9048,0.247,0.8702276075731498,0.7951695595553294
0.35,9.0,0.7437,0.8644,0.8095,0.2448,0.83604970428341,0.7590153320361501
0.38,8.5,0.7643,0.8644,0.8095,0.2528,0.83604970428341,0.7590153320361501
0.38,7.5,0.7516,0.8644,0.8095,0.2512,0.83604970428341,0.7590153320361501
0.5,8.5,0.8317,0.9231,0.7619,0.2867,0.8347891869436201,0.7710966862575425
0.52,8.5,0.8317,0.9231,0.7619,0.2867,0.8347891869436201,0.7710966862575425
0.35,8.0,0.7341,0.8621,0.7937,0.2439,0.826487220678826,0.7470444825817595
0.38,7.0,0.7444,0.8621,0.7937,0.2511,0.826487220678826,0.7470444825817595
0.38,6.5,0.7397,0.8621,0.7937,0.2514,0.826487220678826,0.7470444825817595
0.35,8.5,0.7413,0.8621,0.7937,0.2447,0.826487220678826,0.7470444825817595
0.5,9.5,0.8325,0.9216,0.746,0.2878,0.8245545694411129,0.759035015060241
0.5,9.0,0.8302,0.9216,0.746,0.2876,0.8245545694411129,0.759035015060241
0.52,9.0,0.8302,0.9216,0.746,0.2876,0.8245545694411129,0.759035015060241
0.52,9.5,0.8325,0.9216,0.746,0.2878,0.8245545694411129,0.759035015060241
0.29,5.0,0.6778,0.8361,0.8095,0.2238,0.8225850145843461,0.7349554904224
0.5,6.0,0.8079,0.9038,0.746,0.2836,0.8173533761668081,0.7469344267976975
0.52,6.0,0.8079,0.9038,0.746,0.2836,0.8173533761668081,0.7469344267976975
0.35,6.5,0.7183,0.8596,0.7778,0.2434,0.8166567485037255,0.734914626584514
0.35,7.5,0.7302,0.8596,0.7778,0.2448,0.8166567485037255,0.734914626584514
0.38,6.0,0.7349,0.8596,0.7778,0.2501,0.8166567485037255,0.734914626584514
0.35,7.0,0.7262,0.8596,0.7778,0.2446,0.8166567485037255,0.734914626584514
0.5,10.0,0.8365,0.92,0.7302,0.2908,0.8141849472791178,0.7470165531691986
0.52,10.0,0.8365,0.92,0.7302,0.2908,0.8141849472791178,0.7470165531691986
0.29,5.5,0.6802,0.8333,0.7937,0.224,0.813018082360172,0.7228925271709663
0.48,7.0,0.7841,0.8868,0.746,0.276,0.810329250367467,0.734924173011396
0.5,5.0,0.7881,0.902,0.7302,0.2824,0.8070584487195196,0.7349943953196378
0.52,5.0,0.7881,0.902,0.7302,0.2824,0.8070584487195196,0.7349943953196378
0.55,10.0,0.8262,0.902,0.7302,0.2999,0.8070584487195196,0.7349943953196378
0.32,7.5,0.6929,0.8545,0.746,0.2361,0.7965723211496408,0.7107881308734059
0.35,6.0,0.7151,0.8545,0.746,0.2452,0.7965723211496408,0.7107881308734059
0.32,8.0,0.6992,0.8545,0.746,0.236,0.7965723211496408,0.7107881308734059
0.48,7.5,0.7897,0.9,0.7143,0.2777,0.7964690577959488,0.7229012048192772
0.52,5.5,0.7992,0.9,0.7143,0.2843,0.7964690577959488,0.7229012048192772
0.5,5.5,0.7992,0.9,0.7143,0.2843,0.7964690577959488,0.7229012048192772
0.55,5.0,0.7905,0.9,0.7143,0.2911,0.7964690577959488,0.7229012048192772
0.35,9.5,0.7429,0.8679,0.7302,0.2473,0.7931175520931105,0.7108518842740474
0.29,6.5,0.677,0.8393,0.746,0.2262,0.7899044975714375,0.6987871820894923
0.48,6.5,0.7802,0.898,0.6984,0.277,0.7857218742169882,0.7108616631336034
0.48,6.0,0.7786,0.898,0.6984,0.2761,0.7857218742169882,0.7108616631336034
0.38,10.0,0.7683,0.898,0.6984,0.2602,0.7857218742169882,0.7108616631336034
0.45,5.5,0.7405,0.8654,0.7143,0.2675,0.7826235614357157,0.6988154752590209
0.38,5.0,0.7365,0.8491,0.7143,0.2556,0.7758886145580146,0.6867885398146585
0.45,10.0,0.8111,0.9535,0.6508,0.2794,0.7735932182260176,0.7108542756237326
0.32,6.0,0.7016,0.8627,0.6984,0.2399,0.7719040163986932,0.6867067623222692
0.38,5.5,0.7333,0.8627,0.6984,0.2569,0.7719040163986932,0.6867067623222692
0.32,5.5,0.7008,0.8627,0.6984,0.2397,0.7719040163986932,0.6867067623222692
0.32,9.0,0.6968,0.8627,0.6984,0.2412,0.7719040163986932,0.6867067623222692
0.32,8.5,0.6968,0.8627,0.6984,0.2416,0.7719040163986932,0.6867067623222692
0.45,6.0,0.7405,0.8627,0.6984,0.2686,0.7719040163986932,0.6867067623222692
0.32,10.0,0.7071,0.8776,0.6825,0.2433,0.767850778796231,0.686754016979495
0.32,9.5,0.7087,0.8776,0.6825,0.2434,0.767850778796231,0.686754016979495
0.35,10.0,0.7437,0.8776,0.6825,0.2532,0.767850778796231,0.686754016979495
0.45,8.5,0.8032,0.9318,0.6508,0.2785,0.7663533931505119,0.6987893032529345
0.38,8.0,0.7603,0.8936,0.6667,0.2624,0.7636520156380184,0.6867584903625243
0.38,9.0,0.7698,0.8936,0.6667,0.2617,0.7636520156380184,0.6867584903625243
0.48,5.5,0.7587,0.8936,0.6667,0.2759,0.7636520156380184,0.6867584903625243
0.45,9.0,0.8111,0.9524,0.6349,0.2791,0.7618959994959995,0.6987904211554323
0.45,9.5,0.8127,0.9524,0.6349,0.2787,0.7618959994959995,0.6987904211554323
0.32,5.0,0.6984,0.86,0.6825,0.2405,0.7610372771474878,0.6746735780330625
0.32,6.5,0.6984,0.86,0.6825,0.2419,0.7610372771474878,0.6746735780330625
0.32,7.0,0.6929,0.86,0.6825,0.2411,0.7610372771474878,0.6746735780330625
0.4,8.5,0.7817,0.9302,0.6349,0.2713,0.7546916874321129,0.6867143674245466
0.4,9.5,0.7913,0.9302,0.6349,0.2711,0.7546916874321129,0.6867143674245466
0.4,9.0,0.7841,0.9302,0.6349,0.2712,0.7546916874321129,0.6867143674245466
0.42,9.0,0.7841,0.9302,0.6349,0.2712,0.7546916874321129,0.6867143674245466
0.42,10.0,0.7984,0.9302,0.6349,0.2713,0.7546916874321129,0.6867143674245466
0.4,10.0,0.7984,0.9302,0.6349,0.2713,0.7546916874321129,0.6867143674245466
0.42,8.5,0.7817,0.9302,0.6349,0.2713,0.7546916874321129,0.6867143674245466
0.42,9.5,0.7913,0.9302,0.6349,0.2711,0.7546916874321129,0.6867143674245466
0.48,5.0,0.7524,0.8913,0.6508,0.2786,0.7522962713183322,0.6747003232046328
0.29,9.0,0.669,0.8571,0.6667,0.2341,0.7500046856542852,0.6626421657227439
0.29,7.0,0.6714,0.8571,0.6667,0.2332,0.7500046856542852,0.6626421657227439
0.29,10.0,0.669,0.8571,0.6667,0.2347,0.7500046856542852,0.6626421657227439
0.29,9.5,0.6698,0.8571,0.6667,0.2333,0.7500046856542852,0.6626421657227439
0.35,5.0,0.7119,0.8571,0.6667,0.2504,0.7500046856542852,0.6626421657227439
0.29,8.5,0.669,0.8571,0.6667,0.2338,0.7500046856542852,0.6626421657227439
0.45,8.0,0.7833,0.9091,0.6349,0.2775,0.7476523186528499,0.674689999774701
